Title,Artist,Genre,Year,Danceability,Energy,Valence,Acousticness,Popularity
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,62,79,62,5,72
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,60,73,53,24,72
Genie In a Bottle,Christina Aguilera,dance pop,2015,63,80,91,21,72
Company,Justin Bieber,canadian pop,2015,59,80,43,13,72
Sing,Ed Sheeran,pop,2015,82,67,94,30,71
Jealous - Remix,Nick Jonas,dance pop,2015,68,71,45,1,70
Really Don't Care,Demi Lovato,dance pop,2015,71,73,85,12,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,83,61,71,9,70
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,57,89,31,10,69
Heartbeat Song,Kelly Clarkson,dance pop,2015,49,80,48,1,69
Up,Olly Murs,dance pop,2015,69,85,64,2,69
Trumpets,Jason Derulo,dance pop,2015,63,70,64,56,69
Runnin' (Lose It All),Naughty Boy,tropical house,2015,32,85,8,1,69
Same Old Love,Selena Gomez,dance pop,2015,67,59,44,2,69
I Want You To Know,Zedd,complextro,2015,58,85,37,1,68
Lips Are Movin,Meghan Trainor,dance pop,2015,78,83,95,5,68
I'll Show You,Justin Bieber,canadian pop,2015,36,61,8,5,68
Here,Alessia Cara,canadian contemporary r&b,2015,38,82,33,8,68
I Lived,OneRepublic,dance pop,2015,59,85,34,7,67
Fireball (feat. John Ryan),Pitbull,dance pop,2015,69,94,79,9,67
Easy Love,Sigala,dance pop,2015,68,94,65,18,67
The Feeling,Justin Bieber,canadian pop,2015,53,81,21,8,67
I Really Like You,Carly Rae Jepsen,canadian pop,2015,62,81,60,1,66
BO$$,Fifth Harmony,dance pop,2015,81,87,74,1,66
Sugar,Maroon 5,pop,2015,75,79,88,6,66
Focus,Ariana Grande,dance pop,2015,67,88,79,27,66
All About That Bass,Meghan Trainor,dance pop,2015,81,88,96,5,65
On My Mind,Ellie Goulding,dance pop,2015,70,71,74,26,65
Love Me Like You,Little Mix,dance pop,2015,79,67,85,21,65
Broken Arrows,Avicii,big room,2015,63,67,29,5,65
Booty,Jennifer Lopez,dance pop,2015,71,95,40,0,64
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,77,36,76,79,64
Mark My Words,Justin Bieber,canadian pop,2015,38,26,52,88,63
Lay It All on Me,Rudimental,dance pop,2015,67,75,48,14,62
American Oxygen,Rihanna,barbadian pop,2015,39,75,48,5,61
Bang Bang,Jessie J,australian pop,2015,71,75,73,27,61
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,71,70,60,2,61
Alive,Sia,australian dance,2015,51,76,44,25,61
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,64,82,64,2,60
